Tree,Ortho Groups,Empty-Ortho Groups,Dups,Ind. Dups
550,4,1,24,23
551,3,0,21,15
552,8,4,37,21
553,3,0,25,19
554,2,0,20,16
555,3,1,5,4
556,5,4,7,6
557,4,2,19,15
558,1,0,207,96
559,3,1,20,14
560,3,0,48,30
561,4,1,11,9
562,5,2,15,10
563,1,0,81,24
564,2,0,8,4
565,6,1,17,12
566,3,0,28,22
567,1,0,34,15
568,3,0,15,12
569,3,0,19,14
570,3,0,17,12
571,3,0,18,14
572,3,0,20,16
573,3,2,97,56
574,2,0,36,21
575,4,2,22,14
576,4,0,30,19
577,1,0,211,89
578,5,1,15,9
579,2,2,0,0
580,4,3,1,1
581,3,0,22,13
582,2,0,11,7
583,3,0,26,13
584,1,0,35,19
585,3,0,46,34
586,5,2,13,11
587,2,0,39,25
588,3,0,21,12
589,3,1,19,16
590,4,1,20,13
591,4,2,27,15
592,0,0,0,0
593,6,2,31,21
594,2,0,19,13
595,3,0,17,14
596,0,0,0,0
597,2,0,115,43
598,2,0,30,18
599,3,0,22,16
600,3,0,21,19
601,2,0,29,17
602,2,0,26,16
603,2,1,11,8
604,2,1,3,2
605,3,0,17,12
606,3,1,14,12
607,2,0,13,9
608,0,0,0,0
609,2,1,36,13
610,2,0,96,38
611,2,0,15,12
612,4,0,14,11
613,1,1,0,0
614,3,1,16,13
615,6,2,17,14
616,2,1,6,5
617,2,1,7,4
618,3,1,75,38
619,2,0,18,12
620,1,0,183,95
621,2,0,23,16
622,3,3,0,0
623,3,1,21,17
624,3,0,17,14
625,7,3,6,6
626,3,0,16,13
627,1,1,0,0
628,2,0,26,19
629,2,0,97,43
630,5,2,23,17
631,0,0,0,0
632,1,0,6,3
633,1,0,44,22
634,3,0,17,13
635,4,2,10,9
636,1,0,244,106
637,5,1,23,20
638,4,2,15,11
639,2,1,37,21
640,2,0,20,8
641,3,1,12,8
642,3,1,6,4
643,2,0,66,36
644,5,2,17,15
645,2,0,42,29
646,3,1,8,8
647,4,1,9,6
648,2,1,1,1
649,3,0,9,4
650,2,0,35,25
651,4,1,26,21
652,3,0,40,24
653,3,1,16,13
654,3,0,7,6
655,3,0,36,15
656,6,3,96,38
657,3,0,248,72
658,0,0,0,0
659,0,0,0,0
660,6,2,35,18
661,1,0,1,1
662,4,1,25,16
663,3,0,28,22
664,3,0,18,10
665,5,1,57,32
666,4,1,18,13
667,1,0,7,6
668,2,0,21,15
669,2,0,11,10
670,3,0,19,11
671,2,0,17,12
672,3,0,17,14
673,4,1,106,45
674,0,0,0,0
675,5,0,18,14
676,2,2,0,0
677,4,1,22,9
678,2,0,6,4
679,2,0,21,15
680,2,0,53,31
681,3,2,10,5
682,2,0,109,46
683,2,0,9,6
684,2,1,27,16
685,2,1,12,7
686,3,0,30,15
687,2,0,26,20
688,2,0,43,26
689,2,0,12,8
690,0,0,0,0
691,2,0,16,12
692,2,1,1,1
693,13,2,156,69
694,2,0,24,16
695,0,0,0,0
696,4,0,22,19
697,1,0,12,8
698,3,0,21,13
699,2,0,16,12
700,4,1,28,18
701,5,2,41,23
702,2,1,1,1
703,0,0,0,0
704,2,0,131,61
705,3,1,41,29
706,4,2,27,16
707,3,1,13,6
708,1,1,0,0
709,2,1,2,2
710,4,0,21,15
711,3,1,11,10
712,1,0,8,7
713,3,0,22,16
714,2,0,23,15
715,4,1,12,10
716,2,0,88,49
717,3,1,35,20
718,1,0,284,125
719,2,0,7,4
720,0,0,0,0
721,3,0,16,13
722,2,0,20,13
723,3,1,47,27
724,3,0,16,11
725,2,1,10,6
726,4,2,10,8
727,3,1,45,31
728,4,2,18,10
729,1,1,0,0
730,5,2,27,19
731,2,0,18,11
732,3,1,14,11
733,2,0,33,21
734,2,0,29,17
735,2,0,29,19
736,2,0,26,16
737,2,0,16,13
738,3,3,0,0
739,3,1,14,10
740,1,1,0,0
741,6,2,15,10
742,5,3,9,7
743,6,2,48,32
744,3,2,1,1
745,1,0,221,107
746,3,0,31,19
747,3,1,10,3
748,2,1,13,6
749,4,1,11,9
750,2,0,65,33
751,4,1,46,23
752,2,0,57,36
753,28,8,170,66
754,4,1,41,31
755,2,0,39,28
756,1,0,5,3
757,2,1,3,2
758,2,0,10,5
759,0,0,0,0
760,2,2,0,0
761,2,1,7,5
762,4,0,45,33
763,2,0,15,12
764,3,1,46,24
765,0,0,0,0
766,3,0,18,13
767,2,0,20,9
768,2,1,83,37
769,1,0,112,48
770,3,0,19,14
771,0,0,0,0
772,2,0,9,7
773,4,1,20,14
774,2,0,24,18
775,3,0,35,17
776,1,0,10,7
777,3,0,12,9
778,0,0,0,0
779,2,1,8,6
780,3,0,145,60
781,2,0,25,17
782,2,1,16,11
783,2,0,30,23
784,3,1,15,11
785,1,0,26,10
786,0,0,0,0
787,8,4,24,13
788,2,0,33,23
789,4,3,2,2
790,4,1,26,19
791,7,5,11,5
792,2,0,22,16
793,2,0,15,10
794,1,0,201,81
795,3,0,12,10
796,0,0,0,0
797,2,1,14,8
798,2,0,24,15
799,2,0,21,16
800,0,0,0,0
801,5,4,11,6
802,1,0,18,8
803,3,1,15,14
804,1,0,11,9
805,2,0,17,13
806,2,0,12,8
807,2,0,29,21
808,2,1,76,34
809,6,1,55,25
810,2,0,6,4
811,3,0,21,15
812,3,0,28,20
813,2,0,48,26
814,2,0,23,16
815,1,0,9,7
816,2,0,21,16
817,2,0,18,12
818,0,0,0,0
819,3,0,13,7
820,2,0,23,15
821,3,0,14,9
822,1,0,6,5
823,1,1,0,0
824,2,0,21,15
825,2,0,26,17
826,7,4,35,20
827,3,0,25,18
828,2,0,52,29
829,2,0,107,51
830,0,0,0,0
831,3,0,44,23
832,2,0,34,19
833,2,0,7,5
834,3,0,16,8
835,2,0,20,15
836,2,0,21,14
837,2,1,19,12
838,3,1,10,8
839,2,0,23,19
840,2,0,16,11
841,8,1,23,14
842,2,0,5,4
843,3,1,21,15
844,2,1,6,5
845,4,1,10,7
846,2,0,40,21
847,1,0,1,1
848,0,0,0,0
